frame,timestamp_sec,person_count
0,0.0,2
1,0.04,2
2,0.08,1
3,0.12,2
4,0.16,2
5,0.2,2
6,0.24,2
7,0.28,2
8,0.32,2
9,0.36,3
10,0.4,2
11,0.44,2
12,0.48,2
13,0.52,2
14,0.56,1
15,0.6,1
16,0.64,2
17,0.68,1
18,0.72,2
19,0.76,2
20,0.8,2
21,0.84,1
22,0.88,1
23,0.92,1
24,0.96,1
25,1.0,1
26,1.04,1
27,1.08,2
28,1.12,2
29,1.16,2
30,1.2,2
31,1.24,2
32,1.28,2
33,1.32,1
34,1.36,1
35,1.4,1
36,1.44,1
37,1.48,1
38,1.52,1
39,1.56,1
40,1.6,1
41,1.64,1
42,1.68,1
43,1.72,2
44,1.76,2
45,1.8,2
46,1.84,2
47,1.88,1
48,1.92,2
49,1.96,1
50,2.0,2
51,2.04,2
52,2.08,1
53,2.12,1
54,2.16,1
55,2.2,1
56,2.24,2
57,2.28,1
58,2.32,1
59,2.36,1
60,2.4,1
61,2.44,1
62,2.48,1
63,2.52,1
64,2.56,1
65,2.6,1
66,2.64,1
67,2.68,1
68,2.72,1
69,2.76,1
70,2.8,2
71,2.84,2
72,2.88,2
73,2.92,2
74,2.96,2
75,3.0,2
76,3.04,2
77,3.08,1
78,3.12,1
79,3.16,1
80,3.2,2
81,3.24,1
82,3.28,2
83,3.32,1
84,3.36,2
85,3.4,1
86,3.44,2
87,3.48,1
88,3.52,2
89,3.56,2
90,3.6,3
91,3.64,2
92,3.68,1
93,3.72,1
94,3.76,1
95,3.8,2
96,3.84,2
97,3.88,3
98,3.92,3
99,3.96,3
100,4.0,4
101,4.04,3
102,4.08,2
103,4.12,3
104,4.16,4
105,4.2,4
106,4.24,4
107,4.28,3
108,4.32,3
109,4.36,2
110,4.4,3
111,4.44,3
112,4.48,4
113,4.52,4
114,4.56,5
115,4.6,3
116,4.64,5
117,4.68,4
118,4.72,4
119,4.76,6
120,4.8,6
121,4.84,6
122,4.88,5
123,4.92,4
124,4.96,6
125,5.0,4
126,5.04,4
127,5.08,4
128,5.12,3
129,5.16,3
130,5.2,3
131,5.24,4
132,5.28,3
133,5.32,3
134,5.36,3
135,5.4,3
136,5.44,3
137,5.48,2
138,5.52,2
139,5.56,2
140,5.6,2
141,5.64,3
142,5.68,3
143,5.72,2
144,5.76,3
145,5.8,4
146,5.84,4
