epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,644.955,1.87392,2.16341,1.3709,0.02431,0.54983,0.21772,0.10517,1.75949,2.78889,1.35379,0.000651163,0.000651163,0.000651163
2,1508.63,1.79386,1.47574,1.29683,0.69852,0.34636,0.38891,0.18978,1.92196,2.07423,1.46281,0.00129174,0.00129174,0.00129174
3,2339.81,1.80416,1.42737,1.30664,0.67585,0.43484,0.47205,0.23444,1.86346,1.54623,1.41175,0.00190591,0.00190591,0.00190591
4,3107.32,1.79705,1.34446,1.28604,0.66469,0.50894,0.52722,0.24601,1.85416,1.68209,1.38882,0.0018812,0.0018812,0.0018812
5,3651.23,1.75444,1.26825,1.2623,0.69216,0.52385,0.56884,0.27569,1.80826,1.31883,1.35694,0.0018416,0.0018416,0.0018416
6,4183.53,1.72398,1.21801,1.24444,0.6608,0.54843,0.57607,0.2783,1.7834,1.29843,1.32645,0.001802,0.001802,0.001802
7,4709.73,1.70622,1.18968,1.25672,0.67703,0.55441,0.57953,0.26051,1.82079,1.40866,1.3748,0.0017624,0.0017624,0.0017624
8,5244.1,1.68254,1.1069,1.21755,0.75836,0.54402,0.59783,0.30476,1.75688,1.20224,1.29113,0.0017228,0.0017228,0.0017228
9,17089.9,1.69368,1.10418,1.22327,0.72379,0.60392,0.64049,0.31482,1.74699,1.14189,1.29674,0.0016832,0.0016832,0.0016832
10,17647.3,1.64839,1.06591,1.20603,0.71417,0.61584,0.6495,0.33199,1.6873,1.08543,1.26771,0.0016436,0.0016436,0.0016436
11,18136.5,1.67823,1.06846,1.22233,0.75278,0.61116,0.6636,0.3387,1.66633,1.06469,1.2719,0.001604,0.001604,0.001604
12,18739.9,1.63316,1.06892,1.19515,0.77068,0.58688,0.65089,0.34136,1.62674,1.08325,1.26013,0.0015644,0.0015644,0.0015644
13,19559.8,1.60503,1.01652,1.18333,0.7318,0.63501,0.66112,0.33532,1.64613,1.04916,1.26157,0.0015248,0.0015248,0.0015248
14,20422.6,1.60326,1.00519,1.18365,0.76982,0.6529,0.68672,0.35573,1.64493,1.01758,1.25549,0.0014852,0.0014852,0.0014852
15,21210.4,1.61789,1.00774,1.19082,0.73092,0.63927,0.66986,0.346,1.60974,1.08722,1.2493,0.0014456,0.0014456,0.0014456
16,21864,1.61721,0.99628,1.18459,0.75461,0.6546,0.70269,0.36644,1.6416,0.98799,1.24014,0.001406,0.001406,0.001406
17,22494.7,1.58647,0.98712,1.17267,0.73261,0.68729,0.7211,0.37585,1.63281,0.9915,1.23514,0.0013664,0.0013664,0.0013664
18,23468.9,1.59179,1.00679,1.17373,0.78074,0.66728,0.71837,0.3707,1.59756,1.01019,1.22961,0.0013268,0.0013268,0.0013268
19,24510.8,1.55075,0.9093,1.1516,0.80277,0.66911,0.73019,0.38074,1.60207,0.93776,1.21879,0.0012872,0.0012872,0.0012872
20,25562.1,1.54481,0.93128,1.17011,0.77383,0.65928,0.70705,0.3615,1.613,0.98114,1.2385,0.0012476,0.0012476,0.0012476
21,26509.4,1.52811,0.9074,1.14741,0.80237,0.68127,0.75344,0.39729,1.59181,0.92463,1.20522,0.001208,0.001208,0.001208
22,27644.6,1.53457,0.92969,1.164,0.7575,0.65886,0.70595,0.35284,1.64838,1.00492,1.26637,0.0011684,0.0011684,0.0011684
23,28638.3,1.54023,0.91606,1.15377,0.79117,0.68867,0.73255,0.4,1.56073,0.93529,1.21117,0.0011288,0.0011288,0.0011288
24,29604.3,1.49618,0.88552,1.13588,0.76488,0.72104,0.76027,0.40605,1.53548,0.92321,1.20323,0.0010892,0.0010892,0.0010892
25,30284.7,1.54391,0.97539,1.16698,0.78847,0.70102,0.74716,0.38084,1.58351,0.93302,1.21594,0.0010496,0.0010496,0.0010496
26,30847.1,1.51916,0.88228,1.14901,0.78912,0.71167,0.75093,0.40308,1.53494,0.89197,1.20751,0.00101,0.00101,0.00101
27,31375.4,1.48948,0.85646,1.13599,0.78499,0.72616,0.75984,0.40788,1.55788,0.86599,1.20103,0.0009704,0.0009704,0.0009704
28,31966.1,1.47545,0.85142,1.12298,0.79064,0.71572,0.75908,0.40421,1.52618,0.88569,1.19834,0.0009308,0.0009308,0.0009308
29,79167.5,1.48365,0.84344,1.12288,0.76738,0.72317,0.74866,0.41489,1.52346,0.86617,1.1946,0.0008912,0.0008912,0.0008912
30,79620.1,1.49576,0.85176,1.12438,0.77837,0.70273,0.74225,0.4039,1.55099,0.88288,1.2059,0.0008516,0.0008516,0.0008516
31,80150.2,1.42454,0.92444,1.09243,0.76855,0.72743,0.75402,0.40313,1.56843,0.89784,1.21854,0.000812,0.000812,0.000812
32,80606.7,1.48802,0.86902,1.13042,0.79876,0.72828,0.76517,0.40725,1.54191,0.87873,1.20743,0.0007724,0.0007724,0.0007724
33,81085.8,1.45472,0.81924,1.11658,0.80878,0.71891,0.7728,0.42215,1.52794,0.84388,1.20071,0.0007328,0.0007328,0.0007328
34,81623.8,1.44888,0.82199,1.10867,0.78167,0.74744,0.77781,0.42142,1.52942,0.84219,1.19483,0.0006932,0.0006932,0.0006932
35,82279.8,1.46461,0.88903,1.11874,0.81955,0.72658,0.78194,0.42006,1.52689,0.85058,1.20353,0.0006536,0.0006536,0.0006536
